index  ,lips_cordinate_ degree    ,    co_ordinate
48       77                        (59, 277)
49       76                        (67, 275)
50       74                        (76, 275)
51       73                        (83, 276)
52       71                        (90, 275)
53       69                        (101, 276)
54       68                        (112, 280)
55       70                        (101, 292)
56       73                        (90, 298)
57       74                        (82, 298)
58       75                        (75, 297)
59       77                        (66, 291)
60       77                        (62, 278)
61       74                        (76, 279)
62       73                        (83, 280)
63       72                        (90, 280)
64       68                        (108, 280)
65       72                        (90, 291)
66       74                        (83, 291)
67       75                        (75, 290)
index  ,left_ibrow_ degree    ,    co_ordinate
17       80                        (38, 222)
18       78                        (43, 212)
19       75                        (54, 207)
20       72                        (66, 208)
21       70                        (77, 213)
index  ,right_ibrow_ degree    ,    co_ordinate
22       66                        (93, 214)
23       63                        (105, 210)
24       60                        (118, 210)
25       59                        (130, 217)
26       59                        (136, 228)
index  ,left_eye_ degree    ,    co_ordinate
36       77                        (51, 227)
37       75                        (57, 225)
38       74                        (63, 225)
39       73                        (69, 228)
40       74                        (63, 229)
41       76                        (57, 229)
index  ,right_eye_ degree    ,    co_ordinate
42       66                       (101, 230)
43       64                       (108, 227)
44       63                       (115, 228)
45       62                       (121, 230)
46       63                       (115, 232)
47       65                       (108, 232)
index  ,nose_ degree    ,    co_ordinate
27       69                     (85, 226)
28       70                     (84, 235)
29       71                     (83, 243)
30       71                     (82, 252)
31       74                     (72, 261)
32       73                     (78, 263)
33       72                     (83, 265)
34       71                     (89, 263)
35       70                     (95, 262)
index  ,side_portion_ degree    ,    co_ordinate
0       83                        (27, 231)
1       83                        (26, 246)
2       84                        (26, 261)
3       84                        (27, 277)
4       83                        (32, 293)
5       82                        (42, 306)
6       80                        (55, 318)
7       78                        (67, 329)
8       75                        (84, 334)
9       73                        (101, 332)
10       70                        (115, 323)
11       67                        (128, 312)
12       65                        (138, 298)
13       62                        (145, 283)
14       61                        (148, 267)
15       59                        (149, 250)
16       57                        (150, 235)
