index  ,lips_cordinate_ degree    ,    co_ordinate
48       40                        (298, 257)
49       38                        (317, 249)
50       36                        (334, 246)
51       36                        (344, 250)
52       35                        (355, 249)
53       35                        (365, 257)
54       36                        (370, 270)
55       37                        (362, 279)
56       38                        (351, 283)
57       39                        (341, 282)
58       40                        (330, 279)
59       40                        (315, 270)
60       40                        (306, 259)
61       37                        (333, 259)
62       37                        (342, 261)
63       36                        (353, 262)
64       36                        (366, 269)
65       36                        (353, 266)
66       37                        (342, 266)
67       38                        (333, 262)
index  ,left_ibrow_ degree    ,    co_ordinate
17       26                        (260, 128)
18       22                        (279, 116)
19       20                        (302, 112)
20       19                        (325, 117)
21       19                        (347, 126)
index  ,right_ibrow_ degree    ,    co_ordinate
22       19                        (367, 133)
23       18                        (383, 131)
24       18                        (398, 134)
25       18                        (410, 141)
26       20                        (413, 155)
index  ,left_eye_ degree    ,    co_ordinate
36       28                        (278, 149)
37       25                        (293, 141)
38       24                        (307, 143)
39       26                        (316, 155)
40       27                        (304, 156)
41       27                        (291, 154)
index  ,right_eye_ degree    ,    co_ordinate
42       24                       (366, 165)
43       22                       (380, 157)
44       22                       (392, 160)
45       23                       (397, 171)
46       23                       (390, 173)
47       24                       (378, 169)
index  ,nose_ degree    ,    co_ordinate
27       23                     (354, 154)
28       25                     (354, 171)
29       27                     (355, 188)
30       30                     (356, 206)
31       33                     (324, 218)
32       33                     (335, 222)
33       33                     (347, 226)
34       32                     (356, 225)
35       31                     (365, 224)
index  ,side_portion_ degree    ,    co_ordinate
0       35                        (209, 149)
1       41                        (209, 182)
2       46                        (209, 217)
3       48                        (217, 248)
4       50                        (231, 277)
5       49                        (252, 298)
6       48                        (276, 316)
7       47                        (302, 329)
8       45                        (329, 333)
9       43                        (352, 331)
10       40                        (367, 316)
11       38                        (377, 296)
12       35                        (385, 275)
13       32                        (395, 253)
14       29                        (402, 230)
15       26                        (407, 205)
16       24                        (409, 183)
