index  ,lips_cordinate_ degree    ,    co_ordinate
48       30                        (565, 330)
49       29                        (604, 341)
50       28                        (640, 352)
51       29                        (655, 369)
52       28                        (680, 376)
53       29                        (709, 400)
54       29                        (739, 424)
55       32                        (687, 444)
56       34                        (648, 440)
57       34                        (624, 429)
58       34                        (605, 412)
59       33                        (582, 378)
60       30                        (576, 338)
61       30                        (630, 366)
62       30                        (647, 380)
63       30                        (669, 391)
64       30                        (725, 419)
65       32                        (661, 416)
66       32                        (639, 406)
67       32                        (621, 390)
index  ,left_ibrow_ degree    ,    co_ordinate
17       8                        (613, 97)
18       7                        (651, 81)
19       7                        (690, 87)
20       8                        (724, 111)
21       11                        (748, 147)
index  ,right_ibrow_ degree    ,    co_ordinate
22       12                        (807, 179)
23       12                        (852, 182)
24       12                        (895, 200)
25       14                        (928, 237)
26       16                        (937, 285)
index  ,left_eye_ degree    ,    co_ordinate
36       14                        (627, 157)
37       13                        (656, 153)
38       14                        (685, 171)
39       16                        (700, 206)
40       16                        (672, 197)
41       15                        (642, 181)
index  ,right_eye_ degree    ,    co_ordinate
42       18                       (791, 260)
43       16                       (824, 250)
44       17                       (852, 265)
45       18                       (869, 294)
46       19                       (842, 293)
47       18                       (815, 279)
index  ,nose_ degree    ,    co_ordinate
27       15                     (752, 213)
28       18                     (734, 242)
29       20                     (717, 272)
30       23                     (699, 301)
31       25                     (645, 305)
32       26                     (659, 322)
33       26                     (675, 341)
34       26                     (700, 348)
35       25                     (726, 354)
index  ,side_portion_ degree    ,    co_ordinate
0       12                        (566, 122)
1       17                        (539, 172)
2       23                        (516, 225)
3       29                        (497, 277)
4       33                        (491, 328)
5       37                        (499, 378)
6       39                        (515, 421)
7       40                        (534, 464)
8       41                        (570, 500)
9       40                        (615, 522)
10       38                        (667, 530)
11       35                        (721, 522)
12       33                        (773, 509)
13       30                        (821, 485)
14       27                        (861, 452)
15       24                        (898, 414)
16       21                        (933, 370)
