index  ,lips_cordinate_ degree    ,    co_ordinate
48       65                        (281, 609)
49       63                        (303, 599)
50       61                        (324, 593)
51       60                        (339, 598)
52       59                        (354, 594)
53       58                        (374, 603)
54       57                        (389, 614)
55       59                        (373, 627)
56       60                        (354, 634)
57       62                        (337, 635)
58       63                        (321, 633)
59       64                        (301, 625)
60       64                        (290, 609)
61       62                        (323, 608)
62       61                        (338, 611)
63       59                        (354, 609)
64       58                        (381, 613)
65       59                        (354, 610)
66       61                        (338, 611)
67       62                        (323, 609)
index  ,left_ibrow_ degree    ,    co_ordinate
17       63                        (228, 454)
18       60                        (247, 434)
19       57                        (278, 432)
20       55                        (306, 440)
21       53                        (332, 452)
index  ,right_ibrow_ degree    ,    co_ordinate
22       51                        (356, 451)
23       49                        (382, 444)
24       47                        (408, 440)
25       45                        (435, 445)
26       46                        (449, 466)
index  ,left_eye_ degree    ,    co_ordinate
36       61                        (258, 476)
37       59                        (273, 471)
38       58                        (291, 473)
39       57                        (307, 484)
40       59                        (289, 487)
41       60                        (271, 486)
index  ,right_eye_ degree    ,    co_ordinate
42       52                       (372, 487)
43       50                       (389, 478)
44       49                       (407, 479)
45       49                       (420, 485)
46       50                       (407, 493)
47       51                       (389, 493)
index  ,nose_ degree    ,    co_ordinate
27       54                     (346, 479)
28       55                     (347, 500)
29       56                     (349, 522)
30       57                     (350, 544)
31       60                     (311, 560)
32       59                     (327, 565)
33       58                     (343, 569)
34       57                     (360, 566)
35       56                     (373, 562)
index  ,side_portion_ degree    ,    co_ordinate
0       65                        (210, 467)
1       67                        (209, 503)
2       68                        (210, 540)
3       69                        (214, 577)
4       69                        (224, 611)
5       69                        (244, 642)
6       68                        (267, 666)
7       66                        (297, 687)
8       64                        (332, 693)
9       62                        (367, 691)
10       59                        (396, 673)
11       57                        (420, 649)
12       54                        (438, 619)
13       52                        (449, 588)
14       50                        (456, 555)
15       48                        (462, 519)
16       46                        (465, 485)
